Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
SIVB,"Svb Financial Grp",213.3,-27.13,-11.28%,231.99,207.51,1759135,"14:47 ET"
SJM,"J.M. Smucker Company",99.8,-2.44,-2.39%,102.91,99.04,1307129,"14:47 ET"
SLB,"Schlumberger N.V.",42.24,-1.88,-4.26%,42.98,41.87,14894670,"14:47 ET"
SLG,"SL Green Realty Corp",93.43,-1.07,-1.13%,93.81,91.4,595390,"14:47 ET"
SNA,"Snap-On Inc",152.98,-3.51,-2.24%,154.79,151.31,550563,"14:46 ET"
SNPS,"Synopsys Inc",89.65,0.2,+0.22%,93.15,86.99,1335120,"14:47 ET"
SO,"Southern Company",46.04,-1.2,-2.54%,47.47,45.61,4859911,"14:47 ET"
SPG,"Simon Property Group",185.94,0.91,+0.49%,186.42,182.47,961283,"14:46 ET"
SPGI,"S&P Global Inc",171.1,-6.52,-3.67%,175.64,170.84,2126650,"14:47 ET"
SRCL,"Stericycle Inc",44.89,-1.55,-3.34%,46,44.78,1242968,"14:47 ET"
SRE,"Sempra Energy",114.3,-2.56,-2.19%,117.24,113.42,883978,"14:47 ET"
STI,"Suntrust Banks",56.96,-1.71,-2.91%,58.14,56.58,2692886,"14:47 ET"
STT,"State Street Corp",64.63,-3.18,-4.69%,66.14,63.4,3325992,"14:47 ET"
STX,"Seagate Tech Ord Shs",40.9,-0.67,-1.61%,41.96,40.45,3931017,"14:47 ET"
STZ,"Constellation Brands Inc",188.42,-2.75,-1.44%,191.33,187.91,1055778,"14:47 ET"
SWK,"Stanley Black & Decker Inc",123.57,-2.78,-2.20%,125.14,121.12,1570122,"14:46 ET"
SWKS,"Skyworks Solutions",69.51,-1.25,-1.77%,70.69,69.02,1392630,"14:47 ET"
SYF,"Synchrony Financial",24.55,-0.35,-1.41%,25.15,24.49,4714394,"14:47 ET"
SYK,"Stryker Corp",169.03,-3.22,-1.87%,171.35,167.09,766798,"14:47 ET"
SYMC,"Symantec Corp",22.01,0.050000000000001,+0.23%,22.34,21.43,3538099,"14:47 ET"
SYY,"Sysco Corp",64.97,-1.16,-1.75%,65.93,64.1,2390165,"14:47 ET"
T,"AT&T Inc",30,-0.73,-2.38%,30.6,29.85,34239902,"14:47 ET"
TAP,"Molson Coors Brewing Company",63.67,-1.2,-1.85%,64.34,63.08,1048083,"14:46 ET"
TDG,"Transdigm Group Inc",343,-10.81,-3.06%,352.28,342,343670,"14:47 ET"
TEL,"Te Connectivity Ltd",74.38,0.20999999999999,+0.28%,75.07,72.6,2067323,"14:47 ET"
TGT,"Target Corp",68.72,-0.59,-0.85%,69.23,67.35,3843391,"14:47 ET"
TIF,"Tiffany & Co",87.23,-3.66,-4.03%,89.54,86.51,2260209,"14:47 ET"
TJX,"TJX Companies",45.96,-1.21,-2.57%,46.85,45.74,6673573,"14:47 ET"
TMK,"Torchmark Corp",79.85,-2.37,-2.88%,81.52,79.37,574989,"14:46 ET"
TMO,"Thermo Fisher Scientific Inc",237.91,-5.98,-2.45%,240.69,234.21,1099145,"14:46 ET"
TPR,"Tapestry Inc",37.12,-1.1,-2.88%,37.53,36.73,2246833,"14:47 ET"
TRIP,"Tripadvisor Inc",63.43,0.21,+0.33%,64.32,62.2,1281424,"14:47 ET"
TROW,"T Rowe Price Group",93.14,-2.13,-2.24%,93.72,91.51,1375326,"14:46 ET"
TRV,"The Travelers Companies Inc",122.98,-3.71,-2.93%,126.43,121.75,1586972,"14:47 ET"
TSCO,"Tractor Supply Co",90.5,-2.49,-2.68%,91.75,88.86,1246966,"14:47 ET"
TSN,"Tyson Foods",57.2,-1.04,-1.79%,58.75,56.81,1332344,"14:46 ET"
TSS,"Total System Services",85.07,-0.82000000000001,-0.95%,86.02,84.15,673577,"14:47 ET"
TTWO,"Take-Two Interacti",104.48,2.79,+2.74%,106.55,98,2276763,"14:47 ET"
